repayment_id,loan_id,payment_date,amount_paid
1,101,2023-04-05,50000.00
2,102,2023-04-10,15000.00
3,103,2023-04-15,12000.00
4,104,2023-04-20,45000.00
5,105,2023-04-25,16000.00
6,106,2023-05-02,14000.00
7,107,2023-05-07,48000.00
8,108,2023-05-12,15500.00
9,109,2023-05-17,12500.00
10,110,2023-05-22,60000.00
11,111,2023-05-27,14500.00
12,112,2023-06-01,13000.00
13,113,2023-06-06,47000.00
14,114,2023-06-11,15000.00
15,115,2023-06-16,14000.00
16,101,2023-07-05,50000.00
17,102,2023-07-10,15000.00
18,103,2023-07-15,12000.00
19,104,2023-07-20,45000.00
20,105,2023-07-25,16000.00
